Day,Date,Activity,,,,,,,,,,,,,,,,,,,,,,,
,,you have to force yourself to lack things...otherwise you won't appreciate...,,,,,,,,,,,,,,,,,,,,,,,
Thursday,06/09/2022,"Played PS4 - FIFA, Fall Guys, and watched Sausage Party. Gymmed then watched India bat till we left for G71 - Ghanim Club Initiative. Startup-full atmosphere. Tried Jaffer Bhai's biryani and had 2 shawarmas. ",,,,,,,,,,,,,,,,,,,,,,,
Friday,06/10/2022,Got up at 4am and applied for VSE club  had chai with parents. Slept from 8-11. Played Valo and spoke with Das and Advaith till 3. Watched Tulsi Das Jr. Slept then went for ADVENTURAAAAAA. Great fun. Very thrilling. Came back and had khichdi for dinner.,,,,,,,,,,,,,,,,,,,,,,,
Saturday,06/11/2022,swam up with ria. played valo. ,,,,,,,,,,,,,,,,,,,,,,,
Sunday,06/12/2022,went for a walk in the morning. Bought groceries. Made chilli chicken with Ria. Took care of mama because she was sick. Played ps4 with hamdan and valo with boys. Watched India's match. PLayed ps4 at night,,,,,,,,,,,,,,,,,,,,,,,
Monday,06/13/2022,"Played Ps4 in the morning. Watched Squid Game in the afternoon. Had Dal paratha chawal for lunch. Met Advik and seshadri and went to Kulfi King. Had paneer, played codenames and valorant and watched squid game again at night",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,06/14/2022,"FINALLY GOT SHORTLISTED FOR CREDIT SUISSE AND RECEIVED DTEC OFFER SAME DAY! Emirates ID gone for processing. Played uncharted 4, watched match will swimming. gymmed and played valo a bit",,,,,,,,,,,,,,,,,,,,,,,
Wednesday,06/15/2022,Played Splendor with Ria and Mama.Played a bit of valo at night. Took Ria with me to the gym and she is starting personal training. Had pasta ria made. one shawarma.,,,,,,,,,,,,,,,,,,,,,,,
Thursday,06/16/2022,Signed DSOA papers. Played fifa and fall guys with Hamdan. Watched Locke and Key. Gymmed and slept. Had ECON interview,,,,,,,,,,,,,,,,,,,,,,,
Friday,06/17/2022,"Had eggs and paratha. Backed up everything to one drive and installed UBCs MS 365. Helped mama in her assignment. Gymmed, watched match, splendor, and valorant",,,,,,,,,,,,,,,,,,,,,,,
Saturday,06/18/2022,"met advik for walking, watched Jurrasic World.",,,,,,,,,,,,,,,,,,,,,,,
Sunday,06/19/2022,"met advik and seshadri for walking, played valo with Advaith in the afternoon. Had salad Ria made ",,,,,,,,,,,,,,,,,,,,,,,
Monday,06/20/2022,"Started internship at dtec. ate food, came back watched show and slept",,,,,,,,,,,,,,,,,,,,,,,
Tuesday,06/21/2022,"Went to dtec, had pasta mama made",,,,,,,,,,,,,,,,,,,,,,,
